Name	ID	Organism	log2FoldChange	Base
C1QC	ENSG00000159189	Mus musculus	-0.6874010646620072	Rod Bipolar Cell
C1QC	ENSG00000159189	Macaca fascicularis	-1.0152856719345682	Amacrine Cell
C1QC	ENSG00000159189	Homo sapiens	-0.44680133288624907	Neurogenic Cell
C1QC	ENSG00000159189	Mus musculus	-0.15314544331511434	Pericyte
C1QC	ENSG00000159189	Mus musculus	-0.09408521710687817	Muller Glia
C1QC	ENSG00000159189	Macaca fascicularis	-0.7738762548508777	Muller Glia
C1QC	ENSG00000159189	Macaca fascicularis	0.2342654947681399	Horizontal Cell
C1QC	ENSG00000159189	Homo sapiens	-0.004527074698285404	Pericyte
C1QC	ENSG00000159189	Macaca fascicularis	-0.7987267028429693	Melanocyte
C1QC	ENSG00000159189	Macaca fascicularis	-0.5442599684912675	Bipolar Cell
C1QL1	ENSG00000131094	Mus musculus	6.568027879695223	Horizontal Cell
C1QL1	ENSG00000131094	Homo sapiens	5.763494487363032	Amacrine Cell
C1QL1	ENSG00000131094	Homo sapiens	6.954666803986411	Horizontal Cell
C1QL1	ENSG00000131094	Mus musculus	5.533512778804872	Amacrine Cell
C1QL1	ENSG00000131094	Homo sapiens	3.249494466077489	Retinal Ganglion Cell
C1QL1	ENSG00000131094	Macaca fascicularis	4.756499341902162	Horizontal Cell
C1QL1	ENSG00000131094	Macaca fascicularis	4.407153844328419	Amacrine Cell
C1QL1	ENSG00000131094	Homo sapiens	1.7951018798317637	Muller Glia
C1QL1	ENSG00000131094	Homo sapiens	-2.6521522596166385	Macrophage
C1QL1	ENSG00000131094	Mus musculus	-1.7562005413961272	Rod
C1QL1	ENSG00000131094	Homo sapiens	1.0590578097659198	Rod
C1QL1	ENSG00000131094	Mus musculus	-2.2432583208326564	AC/HC Precursor
C1QL1	ENSG00000131094	Mus musculus	1.5537406410851975	Muller Glia
C1QL1	ENSG00000131094	Mus musculus	1.5652420932662827	RPC
C1QL1	ENSG00000131094	Macaca fascicularis	-2.2809177015042894	Muller Glia
C1QL1	ENSG00000131094	Homo sapiens	-1.4999409129804069	Pericyte
C1QL1	ENSG00000131094	Mus musculus	-0.9212600005530562	Bipolar Cell
C1QL1	ENSG00000131094	Macaca fascicularis	-1.7463915136674841	Rod
C1QL1	ENSG00000131094	Mus musculus	-0.956975028288509	Cone
C1QL1	ENSG00000131094	Macaca fascicularis	-2.270709615682359	Macrophage
C1QL1	ENSG00000131094	Mus musculus	-1.338254569334839	Microglia
C1QL1	ENSG00000131094	Homo sapiens	1.144035590954781	RPC
C1QL1	ENSG00000131094	Macaca fascicularis	-1.4357165636557663	Retinal Ganglion Cell
C1QL1	ENSG00000131094	Homo sapiens	-1.4745192073277924	Rod Bipolar Cell
C1QL1	ENSG00000131094	Mus musculus	-0.5981280897363458	Retinal Ganglion Cell
